model,MAE,RMSE,params,train_s
persistence,48.857839237497735,103.42779132842057,0,0.2
mlp,56.23845080161248,95.09014777274355,675224,6.3
lstm,43.018427802621204,86.37094970842573,215064,3.7
dlinear,49.26343520306942,81.58751480168324,4683,5.3
patchtst,59.98000003171252,88.61919444945286,141720,17.5
